number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
55,Within a transaction multiple SQL statements will see the same set of records in a stream,TRUE,FALSE,,,,,1,"Streams support repeatable read isolation. In repeatable read mode, multiple SQL statements within a transaction see the same set of records in a stream. This differs from the read committed mode supported for tables, in which statements see any changes made by previous statements executed within the same transaction, even though those changes are not yet committed.",,Test 10,10
56,"The data retention period for a database, schema, or table cannot be changed after they are created.",FALSE,TRUE,,,,,1,"The data retention period for a database, schema, or table can be changed at any time.",,Test 10,10
57,The cron expression in a task definition supports specifying a time zone,FALSE,TRUE,,,,,2,The cron expression in a task definition supports specifying a time zone. A scheduled task runs according to the specified cron expression in the local time for a given time zone. Special care should be taken with regard to scheduling tasks for time zones that recognize daylight saving time. Tasks scheduled during specific times on days when the transition from standard time to daylight saving time (or the reverse) occurs can have unexpected behaviors.,,Test 10,10
58,Which parameter is used to set the time travel retention period?,DATA_RETENTION_TIME,DATA_RETENTION_TIME_IN_HOURS,DATA_RETENTION_TIME_IN_WEEKS,DATA_RETENTION_TIME_IN_DAYS,,,4,"To specify the data retention period for Time Travel: The DATA_RETENTION_TIME_IN_DAYS object parameter can be used by users with the ACCOUNTADMIN role to set the default retention period for your account. The same parameter can be used to explicitly override the default when creating a database, schema, and individual table. The data retention period for a database, schema, or table can be changed at any time.",,Test 10,10
59,"When the owner role of a given task (i.e. the role with the OWNERSHIP privilege on the task) is deleted, what happens?","The tasks is suspended immediately, and the task will not have any owner till explicitly assigned",The tasks is also dropped,The task is re-possessed by the role that dropped the owner role,The roles granted to any task cannot be dropped unless all associated tasks are dropped,,,3,"When the owner role of a given task (i.e. the role with the OWNERSHIP privilege on the task) is deleted, the task is re-possessed by the role that dropped the owner role. This ensures that ownership moves to a role that is closer to the root of the role hierarchy. When a task is re-possessed, it is automatically paused, i.e., all executions currently in flight complete processing, but new executions will not be scheduled until the task is resumed explicitly by the new owner. The rationale for this is to prevent a user with access to a particular role from leaving behind tasks that suddenly execute with higher permissions when the role is removed. If the role that a running task is executing under is dropped while the task is running, the task completes processing under the dropped role.",,Test 10,10
60,"In Snowflake Enterprise edition, the maximum retention period for a transient or temporary table is?",7 days,1 day,90 days,Transient & Temporary table cannot be configured for time travel,,,2,"For Snowflake Enterprise Edition (and higher): For transient databases, schemas, and tables, the retention period can be set to 0 (or unset back to the default of 1 day). The same is also true for temporary tables. For permanent databases, schemas, and tables, the retention period can be set to any value from 0 up to 90 days",,Test 10,10
1,STRIP_NULL_VALUE converts a JSON null value to a SQL NULL value. (TRUE / FALSE),FALSE,TRUE,,,,,2,Converts a JSON null value to a SQL NULL value. All other variant values are passed unchanged.,,Test 11,11
2,"John created a Database and set the DATA_RETENTION_TIME_IN_DAYS as 30 days, but he did not set the DATA_RETENTION_TIME_IN_DAYS in one of the table ‘T1‘. After 5 days, he accidently dropped table ‘T1‘. Will he able to recover the table T1?","Yes, as the retention period is specified at database level",John can recover the table T1 after 30 days,John should call Snowflake Support to recover the table from Fail-Safe.,"No, John cant recover the dropped table T1 because he didn‘t set DATA_RETENTION_TIME_IN_DAYS for Table T1",,,1,"If a retention period is specified for a database or schema, the period is inherited by default for all objects created in the database/schema.",,Test 11,11
3,"What all commands will you use to load data from External Stage (for example, AWS S3 bucket) System to Snowflake table?",Only COPY INTO command,PUT COMMAND followed by COPY INTO,COPY INTO followed by PUT command,Only PUT command,,,1,You do not need to run PUT command when loading data from External Stage to Snowflake. COPY INTO command can directly copy from External Stage or Cloud Storage (Like AWS S3 bucket).,,Test 11,11
4,Semi Structured data can be accessed: (Select 3),In files on an AWS EC2 server,In files in an on-prem file server,In a permanent table using the variant data type,In files in a internal stage,In files in an external stage,,"3, 4, 5","Snowflake CAN‘T access from AWS EC2 server and on-prem file server. Snowflake can query External Table ( files of External Stage), Internal Stage and Permanent table.",,Test 11,11
5,Permissions on database objects such as a database or table are granted to:,Virtual warehouses,Roles,Schemas,Users,Users or roles,,2,Snowflake supports Role-Based Access control.,,Test 11,11
